iter	Passed	Remaining
0	143	143262
1	146	73169
2	149	49562
3	152	38083
4	154	30697
5	155	25701
6	155	22107
7	156	19423
8	157	17317
9	158	15663
10	159	14308
11	160	13178
12	160	12222
13	161	11398
14	162	10689
15	163	10072
16	164	9518
17	165	9021
18	166	8587
19	167	8196
20	168	7836
21	169	7516
22	170	7232
23	172	7011
24	175	6830
25	178	6670
26	180	6499
27	181	6310
28	182	6117
29	184	5952
30	185	5792
31	186	5641
32	189	5552
33	190	5418
34	192	5300
35	193	5168
36	193	5045
37	194	4929
38	195	4817
39	196	4713
40	197	4609
41	197	4513
42	209	4666
43	211	4600
44	214	4543
45	215	4464
46	218	4436
47	220	4366
48	221	4291
49	221	4216
50	222	4146
51	223	4081
52	224	4018
53	225	3956
54	226	3898
55	228	3857
56	230	3813
57	234	3802
58	236	3776
59	238	3740
60	239	3686
61	240	3641
62	242	3607
63	243	3565
64	244	3520
65	245	3476
66	247	3446
67	248	3407
68	249	3371
69	250	3332
70	251	3293
71	252	3257
72	253	3220
73	255	3195
74	256	3162
75	257	3129
76	258	3097
77	259	3067
78	261	3054
79	264	3047
80	267	3038
81	269	3022
82	271	2999
83	272	2971
84	273	2939
85	273	2911
86	274	2881
87	275	2859
88	277	2838
89	278	2819
90	279	2794
91	280	2770
92	281	2745
93	282	2722
94	283	2700
95	284	2677
96	285	2654
97	286	2633
98	287	2613
99	288	2592
100	289	2577
101	291	2567
102	295	2570
103	298	2573
104	301	2569
105	302	2555
106	304	2539
107	305	2525
108	307	2514
109	310	2508
110	311	2493
111	312	2476
112	313	2461
113	314	2445
114	315	2428
115	316	2411
116	317	2395
117	318	2381
118	319	2367
119	322	2367
120	325	2366
121	328	2364
122	329	2349
123	331	2341
124	332	2327
125	333	2313
126	334	2300
127	335	2286
128	337	2277
129	338	2267
130	339	2254
131	340	2241
132	341	2229
133	342	2216
134	343	2203
135	344	2191
136	345	2178
137	346	2165
138	348	2155
139	349	2148
140	355	2167
141	359	2169
142	360	2162
143	362	2154
144	363	2143
145	364	2132
146	365	2122
147	367	2117
148	369	2109
149	370	2099
150	371	2088
151	372	2077
152	373	2067
153	374	2056
154	375	2046
155	376	2036
156	377	2027
157	379	2022
158	383	2029
159	387	2032
160	389	2029
161	391	2023
162	392	2017
163	394	2009
164	395	2002
165	398	2003
166	400	1995
167	401	1986
168	402	1978
169	403	1969
170	404	1961
171	405	1952
172	406	1945
173	409	1942
174	411	1941
175	416	1950
176	419	1949
177	421	1944
178	423	1942
179	425	1937
180	426	1930
181	427	1923
182	429	1918
183	430	1910
184	432	1903
185	433	1897
186	434	1888
187	435	1881
188	439	1883
189	441	1883
190	444	1884
191	447	1882
192	449	1879
193	451	1875
194	452	1868
195	453	1862
196	455	1855
197	456	1851
198	458	1843
199	459	1836
200	460	1830
201	461	1824
202	462	1817
203	463	1810
204	465	1806
205	468	1805
206	471	1805
207	474	1805
208	476	1804
209	478	1801
210	480	1797
211	481	1791
212	483	1784
213	484	1779
214	486	1775
215	487	1770
216	489	1765
217	490	1758
218	491	1753
219	493	1748
220	494	1742
221	495	1736
222	497	1731
223	499	1729
224	501	1728
225	504	1726
226	506	1725
227	507	1719
228	509	1713
229	510	1708
230	511	1702
231	512	1697
232	514	1692
233	515	1686
234	516	1680
235	517	1675
236	518	1669
237	520	1666
238	522	1662
239	523	1657
240	525	1653
241	526	1649
242	529	1649
243	532	1649
244	535	1649
245	537	1646
246	538	1641
247	539	1636
248	541	1633
249	543	1630
250	544	1626
251	546	1621
252	547	1617
253	549	1612
254	550	1609
255	551	1604
256	553	1599
257	554	1594
258	556	1593
259	559	1593
260	563	1594
261	565	1594
262	567	1590
263	569	1587
264	570	1583
265	572	1580
266	575	1579
267	577	1577
268	578	1573
269	580	1568
270	581	1564
271	582	1559
272	584	1555
273	585	1551
274	588	1552
275	592	1554
276	595	1553
277	597	1551
278	598	1547
279	600	1543
280	601	1538
281	603	1536
282	605	1533
283	606	1530
284	607	1525
285	608	1520
286	610	1515
287	611	1512
288	612	1507
289	613	1502
290	615	1499
291	618	1500
292	622	1502
293	624	1499
294	626	1497
295	628	1495
296	630	1492
297	632	1489
298	633	1486
299	635	1482
300	636	1479
301	638	1474
302	639	1471
303	641	1468
304	642	1465
305	644	1461
306	646	1459
307	650	1460
308	653	1462
309	655	1458
310	656	1454
311	657	1450
312	659	1446
313	660	1443
314	662	1440
315	663	1436
316	665	1433
317	667	1431
318	668	1427
319	669	1423
320	671	1419
321	672	1416
322	673	1412
323	675	1409
324	678	1408
325	682	1410
326	684	1408
327	687	1407
328	689	1405
329	690	1401
330	692	1398
331	693	1395
332	696	1394
333	697	1391
334	699	1387
335	700	1383
336	701	1380
337	703	1377
338	705	1375
339	708	1374
340	711	1375
341	714	1373
342	716	1371
343	717	1367
344	718	1364
345	720	1361
346	721	1358
347	723	1355
348	724	1351
349	726	1348
350	727	1345
351	728	1341
352	729	1337
353	731	1334
354	732	1330
355	733	1327
356	741	1334
